main.disorder,Band,Metric,Mean AUC,AUC Lower CI,AUC Upper CI,Mean Sensitivity,Sensitivity Lower CI,Sensitivity Upper CI,Mean Specificity,Specificity Lower CI,Specificity Upper CI
mood disorder,delta,COH,0.81,0.74,0.88,0.74,0.60,0.88,0.83,0.74,0.91
obsessive compulsive disorder,alpha,AB,0.72,0.64,0.79,0.72,0.56,0.87,0.83,0.74,0.92
obsessive compulsive disorder,beta,AB,0.59,0.48,0.71,0.69,0.52,0.87,0.72,0.55,0.88
obsessive compulsive disorder,highbeta,AB,0.66,0.55,0.77,0.94,0.86,1.02,0.54,0.40,0.68
obsessive compulsive disorder,gamma,AB,0.63,0.54,0.73,0.82,0.62,1.01,0.62,0.46,0.78
obsessive compulsive disorder,theta,AB,0.60,0.48,0.72,0.78,0.60,0.95,0.63,0.45,0.81
obsessive compulsive disorder,delta,AB,0.65,0.55,0.76,0.64,0.46,0.82,0.82,0.72,0.92
obsessive compulsive disorder,alpha,COH,0.68,0.51,0.84,0.78,0.60,0.95,0.74,0.56,0.91
obsessive compulsive disorder,beta,COH,0.66,0.54,0.77,0.93,0.82,1.03,0.57,0.46,0.69
obsessive compulsive disorder,highbeta,COH,0.65,0.57,0.74,0.80,0.64,0.96,0.67,0.54,0.79
obsessive compulsive disorder,gamma,COH,0.66,0.56,0.76,0.75,0.57,0.93,0.72,0.59,0.85
obsessive compulsive disorder,theta,COH,0.68,0.57,0.79,0.85,0.74,0.96,0.62,0.48,0.76
obsessive compulsive disorder,delta,COH,0.65,0.55,0.75,0.72,0.56,0.87,0.72,0.59,0.85
schizophrenia,alpha,AB,0.83,0.77,0.89,0.86,0.74,0.97,0.80,0.71,0.90
schizophrenia,beta,AB,0.87,0.83,0.91,0.92,0.83,1.00,0.82,0.73,0.90
schizophrenia,highbeta,AB,0.87,0.82,0.91,0.88,0.81,0.95,0.81,0.72,0.90
schizophrenia,gamma,AB,0.87,0.82,0.92,0.82,0.72,0.91,0.87,0.81,0.93
schizophrenia,theta,AB,0.85,0.79,0.90,0.86,0.78,0.94,0.80,0.69,0.90
schizophrenia,delta,AB,0.90,0.84,0.95,0.89,0.76,1.03,0.87,0.79,0.95
schizophrenia,alpha,COH,0.83,0.76,0.89,0.90,0.82,0.97,0.74,0.60,0.88
schizophrenia,beta,COH,0.84,0.75,0.94,0.80,0.66,0.93,0.86,0.79,0.92
schizophrenia,highbeta,COH,0.80,0.70,0.90,0.87,0.76,0.97,0.78,0.67,0.89
schizophrenia,gamma,COH,0.83,0.74,0.91,0.89,0.81,0.97,0.79,0.70,0.89
schizophrenia,theta,COH,0.80,0.72,0.89,0.80,0.71,0.88,0.80,0.69,0.91
schizophrenia,delta,COH,0.81,0.73,0.89,0.81,0.74,0.87,0.81,0.70,0.92
anxiety disorder,alpha,AB,0.85,0.81,0.90,0.85,0.76,0.93,0.87,0.81,0.93
anxiety disorder,beta,AB,0.84,0.79,0.90,0.86,0.75,0.97,0.82,0.71,0.92
anxiety disorder,highbeta,AB,0.84,0.79,0.88,0.79,0.70,0.89,0.88,0.80,0.97
anxiety disorder,gamma,AB,0.86,0.81,0.92,0.87,0.80,0.95,0.83,0.73,0.92
anxiety disorder,theta,AB,0.82,0.76,0.89,0.72,0.67,0.77,0.89,0.81,0.98
anxiety disorder,delta,AB,0.85,0.78,0.91,0.80,0.70,0.90,0.84,0.75,0.93
anxiety disorder,alpha,COH,0.80,0.74,0.86,0.87,0.75,0.98,0.74,0.63,0.85
anxiety disorder,beta,COH,0.79,0.73,0.86,0.71,0.56,0.86,0.88,0.79,0.98
anxiety disorder,highbeta,COH,0.78,0.69,0.87,0.71,0.56,0.86,0.86,0.81,0.92
anxiety disorder,gamma,COH,0.79,0.70,0.88,0.75,0.64,0.86,0.85,0.76,0.94
anxiety disorder,theta,COH,0.79,0.74,0.85,0.80,0.70,0.91,0.78,0.70,0.87
anxiety disorder,delta,COH,0.85,0.79,0.90,0.78,0.67,0.89,0.87,0.79,0.95
